issuer,validity_start,validity_end,sha256_fingerprint,cert_length,public_key_length,secure_connection,encryption,error,website,category
Microsoft Azure RSA TLS Issuing CA 04,20240708191547Z,20250703191547Z,17:56:D2:81:83:03:F5:50:4B:F9:B6:0C:D5:45:B2:A5:98:28:12:DB:D4:F6:76:94:FF:50:1B:B4:5F:F1:A6:5D,6210,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,azure.com,Technology
Sectigo RSA Organization Validation Secure Server CA,20240405000000Z,20250506235959Z,9D:35:CB:B2:21:78:7A:B5:8A:90:54:50:93:FC:89:B5:FA:59:BB:70:E7:F2:86:1A:3D:91:CA:5F:9C:8E:3A:C9,1766,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",,samsung.com,Home & Garden;Technology
Microsoft Azure RSA TLS Issuing CA 08,20240530044610Z,20250525044610Z,AD:24:81:75:D9:61:9C:45:B1:FE:8B:B8:95:9A:FC:23:B8:32:A1:42:36:90:35:A9:8F:BE:78:E0:16:C3:C4:72,2169,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,msn.com,News & Media
,,,,,,,,[Errno 11001] getaddrinfo failed,trafficmanager.net,Information Technology;Content Servers
,,,,,,,,[Errno 11001] getaddrinfo failed,ggpht.com,Content Servers
,,,,,,,,[Errno 11001] getaddrinfo failed,rocket-cdn.com,Content Servers
Microsoft Azure RSA TLS Issuing CA 07,20240629205647Z,20250624205647Z,F8:91:8C:1A:A0:A7:0B:2E:2E:8B:6F:34:FC:E2:D8:FF:3B:82:73:6E:CE:4E:AA:99:6A:2C:4F:C3:3B:2D:33:FF,5377,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,skype.com,Instant Messengers;Internet Phone & VOIP
E6,20240809162354Z,20241107162353Z,59:5D:0E:21:8E:75:5E:F0:EF:4E:86:B9:CC:FA:DC:D7:84:BE:5C:DA:84:B4:C9:C9:12:CF:B4:A4:2B:14:72:B5,978,256,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,lencr.org,Information Technology
DigiCert Secure Site Pro CN CA G3,20240130000000Z,20250301235959Z,4E:DA:F1:FE:F5:6D:52:C2:81:DE:80:AB:4A:31:71:8B:66:4F:FF:89:E7:1F:3D:8E:EC:0E:25:DD:18:53:33:46,1874,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",,baidu.com,Search Engines
Sectigo RSA Organization Validation Secure Server CA,20240129000000Z,20250128235959Z,47:B3:82:8C:77:65:BC:00:1F:CC:40:7A:1A:19:4D:42:2A:E3:EA:9E:47:9B:6B:3F:5E:18:84:3C:CA:FE:D8:11,1754,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,roblox.com,Gaming;Safe for Kids
DigiCert SHA2 Secure Server CA,20240701000000Z,20250101235959Z,0C:01:06:FE:D9:69:7B:D6:D9:69:A1:40:11:28:A3:EB:1A:02:99:24:05:00:D1:52:2E:AD:D4:13:9E:DB:78:79,2364,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,linkedin.com,Professional Networking
,,,,,,,,[Errno 11001] getaddrinfo failed,appsflyersdk.com,Content Servers;APIs
R11,20240715062517Z,20241013062516Z,44:AD:60:3E:89:36:49:D1:36:0A:17:FB:DF:BF:DF:02:50:63:CA:CE:87:91:A5:88:60:3F:9B:59:D8:DE:E3:5F,1344,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,criteo.com,Business
DigiCert TLS Hybrid ECC SHA384 2020 CA1,20231018000000Z,20241016235959Z,07:BC:DE:69:C0:24:AB:9A:25:91:B9:2F:B5:51:07:40:8E:92:7F:E7:75:CD:82:5E:7F:4B:4B:3E:AC:80:F0:26,2127,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,wikipedia.org,Education
,,,,,,,,[Errno 11001] getaddrinfo failed,bytefcdn-ttpeu.com,Content Servers
,,,,,,,,[Errno 11001] getaddrinfo failed,microsoftonline.com,Technology
DigiCert Global G2 TLS RSA SHA256 2020 CA1,20240703000000Z,20250722235959Z,C4:43:15:65:61:DB:01:58:3B:5E:C1:E0:C4:6F:77:AA:95:0A:CA:52:81:A3:2C:A9:8A:6F:39:9C:E6:6A:0E:02,1756,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,sentry.io,Business
RapidSSL Global TLS RSA4096 SHA256 2022 CA1,20240604000000Z,20250628235959Z,57:3A:E9:7A:4A:27:A4:3D:3E:CB:7B:1B:B0:07:7A:A9:88:B0:C2:06:DA:F3:CE:02:60:4A:A9:98:DE:17:1F:A1,1943,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",,xiaomi.com,Technology
DigiCert Global G2 TLS RSA SHA256 2020 CA1,20240730000000Z,20241231235959Z,93:8B:97:C4:6E:1A:49:F7:95:14:A1:66:09:A7:97:65:F3:73:1E:10:41:28:3D:C2:23:0C:C2:D6:5E:98:79:D8,1832,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,taboola.com,Business;Advertisements
,,,,,,,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'windows.net'. (_ssl.c:1000)",windows.net,Technology
DigiCert Secure Site CN CA G3,20240604000000Z,20250610235959Z,08:6E:F4:8B:4C:F3:37:4D:EC:DD:49:42:D9:12:32:93:94:27:44:BE:6B:0D:4D:64:79:2D:34:C4:ED:DE:96:EC,1681,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",,qq.com,News & Media
Microsoft Azure RSA TLS Issuing CA 04,20240228025918Z,20250222025918Z,53:5D:03:5E:79:2D:F3:8D:A4:6E:EA:F6:DA:E8:F0:7C:4E:96:53:05:2E:A4:68:15:DD:6B:92:D5:71:4D:F1:7E,2306,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,office365.com,Technology
WR2,20240730124908Z,20241022124907Z,58:0A:79:FF:B5:BE:A6:D2:A1:CD:F1:3C:A0:D2:3F:F0:36:0F:72:3D:21:F0:EB:BD:9D:BC:86:8E:2E:B5:68:36,1116,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,gmail.com,Webmail
,,,,,,,,[Errno 11001] getaddrinfo failed,3gppnetwork.org,Content Servers
WR2,20240730123253Z,20241022123252Z,06:5E:3B:66:39:0A:5D:3C:7C:E5:1F:27:34:24:42:60:64:53:B3:D9:8E:4D:4E:97:F5:B7:08:B5:9D:19:0A:0A,3600,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,android.com,Technology
,,,,,,,,[Errno 11001] getaddrinfo failed,office.net,Content Servers
,,,,,,,,[Errno 11001] getaddrinfo failed,tiktokcdn-us.com,Content Servers
Microsoft Azure RSA TLS Issuing CA 08,20240221015149Z,20250215015149Z,8F:C5:2F:E8:7B:70:1D:EB:B1:BD:C0:26:5D:E7:B8:CD:6F:16:A1:4E:5F:7E:60:D8:F6:84:1F:C6:07:26:49:8D,5385,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,windows.com,Information Technology
,,,,,,,,[Errno 11001] getaddrinfo failed,cdn-apple.com,Content Servers
E5,20240724230925Z,20241022230924Z,54:9D:4D:E1:E2:56:CF:62:EE:7F:7D:8C:76:10:8E:BF:1D:41:8E:04:15:DB:24:FA:B7:65:86:11:AE:C5:B1:8A,925,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,doubleverify.com,Business;Technology
,,,,,,,,[Errno 11001] getaddrinfo failed,windowsupdate.com,Information Technology;Business
,,,,,,,,[Errno 11001] getaddrinfo failed,rbxcdn.com,Content Servers
E5,20240617224426Z,20240915224425Z,BE:FA:76:84:F8:57:40:10:46:DE:1C:C1:31:4B:1B:79:52:C6:FD:CB:11:A5:DF:3A:C9:EE:29:D9:30:53:9F:D4,917,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,casalemedia.com,Advertisements
,,,,,,,,[Errno 11001] getaddrinfo failed,qlivecdn.com,
,,,,,,,,[Errno 11001] getaddrinfo failed,2mdn.net,Content Servers
WR3,20240705211609Z,20241003220922Z,E8:56:FC:B8:7A:01:2F:A3:CE:0A:CC:BF:59:30:2F:72:60:F2:CE:A7:9D:2E:62:F2:78:2D:83:75:7C:00:20:58,1444,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,smartadserver.com,Advertisements
RapidSSL Global TLS RSA4096 SHA256 2022 CA1,20240513000000Z,20250608235959Z,6D:4E:CB:AF:ED:6D:8E:86:8E:27:67:10:EF:D6:75:6E:8B:D6:1F:6F:EB:FE:17:32:47:4B:8E:A1:00:3B:0B:24,1940,2048,TRUE,"('ECDHE-RSA-AES256-GCM-SHA384', 'TLSv1.2', 256)",,miui.com,Technology
Microsoft Azure RSA TLS Issuing CA 04,20230927215758Z,20240921215758Z,0B:45:73:92:65:33:53:0E:CD:17:69:DA:1D:CE:2F:3F:16:44:7C:CB:A4:B4:21:64:2B:07:D6:A5:29:B8:7A:3C,2294,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,sharepoint.com,File Sharing;Technology
Apple Public Server RSA CA 12 - G1,20240608215102Z,20240906220102Z,00:36:4F:B1:CB:E7:2F:62:B7:AB:69:B4:61:34:CD:66:18:BB:D4:3B:67:19:84:C2:7A:F6:E4:28:7C:0C:62:04,1794,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,mzstatic.com,Information Technology;Technology
WR2,20240730125437Z,20241022125436Z,2C:B7:D0:13:D9:B3:65:4F:AF:C3:E4:C9:52:BB:2D:C4:71:CD:87:21:BD:12:CA:A2:C8:17:E6:BE:50:17:43:70,1136,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,crashlytics.com,Information Technology
DigiCert Global G2 TLS RSA SHA256 2020 CA1,20240328000000Z,20250405235959Z,35:4B:E5:B7:7B:FB:8D:3A:16:35:D5:21:BF:25:E7:31:A9:5B:D2:59:C4:B7:FD:21:E2:20:06:38:60:3F:C5:17,1769,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,zoom.us,Technology
,,,,,,,,[Errno 11001] getaddrinfo failed,adnxs.com,Content Servers
