issuer,validity_start,validity_end,sha256_fingerprint,cert_length,public_key_length,secure_connection,encryption,website,category
DigiCert Global G2 TLS RSA SHA256 2020 CA1,24-Jun-24,23-Jun-25,65:BD:AB:13:3B:85:A5:EE:B8:3D:65:45:F7:69:3A:D2:7A:FA:33:0D:DB:1B:80:D8:39:E6:86:8B:31:86:79:D9,1895,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",societegenerale.com,Banking
DigiCert QV TLS ICA G1,25-Sep-23,24-Sep-24,3C:D3:3C:79:30:D9:4E:A8:91:1E:B3:1C:AA:F4:85:47:96:64:C6:EE:50:AB:D9:D2:42:C7:23:8C:65:9A:D5:9A,1668,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",credit-suisse.com,Banking
DigiCert EV RSA CA G2,28-Nov-23,28-Dec-24,C7:0B:5C:70:2B:99:37:7B:4D:81:31:EA:75:B0:28:98:28:33:C9:5B:10:43:51:36:FF:4F:3C:33:B1:BE:B3:87,1806,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",ubs.com,Banking
Actalis Organization Validated Server CA G3,10-Jun-24,10-Jun-25,F0:F0:B3:D0:CF:65:72:7C:01:66:08:74:F2:72:14:FD:7B:9A:2D:47:A3:E8:8B:74:40:A0:9E:59:B5:AF:8C:CE,3071,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",unicreditgroup.eu,Banking
DigiCert EV RSA CA G2,28-May-24,27-May-25,16:4B:3E:10:87:FB:D0:51:A6:0F:41:B3:8D:EF:20:0C:7B:CF:9D:A6:EF:B5:F5:48:83:91:CD:50:52:A6:44:BB,1922,2048,TRUE,"('ECDHE-RSA-AES256-GCM-SHA384', 'TLSv1.2', 256)",deutsche-bank.de,Banking
Entrust Certification Authority - L1M,22-May-24,22-May-25,AF:CF:3E:10:66:B1:83:2E:E7:26:C0:52:63:A2:05:40:41:AA:F2:0A:54:5E:77:44:76:16:F8:28:F6:6E:68:E2,1982,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",ing.com,Banking
Sectigo ECC Extended Validation Secure Server CA,03-Apr-24,03-Apr-25,40:F3:21:47:81:7B:D9:B1:72:3C:3D:B9:62:A6:39:A7:7D:B9:C1:30:30:3B:92:B0:5A:52:50:21:00:4A:0B:0A,1499,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",rabobank.com,Banking
Sectigo RSA Organization Validation Secure Server CA,29-Apr-24,29-Apr-25,CA:94:15:98:04:37:2A:0C:C1:93:DE:BB:E7:0E:2F:44:B7:47:B4:8D:49:DC:A7:C8:7E:4E:92:A0:70:C2:B6:02,1764,2048,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",abnamro.com,Banking
DigiCert TLS RSA SHA256 2020 CA1,09-Sep-23,11-Sep-24,9B:56:23:15:67:FA:9D:FF:04:A1:5F:85:54:D3:0B:4E:3C:FE:2F:2E:F4:22:E9:E0:8B:4D:42:F4:AE:5D:04:74,2156,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",bbva.com,Banking
GlobalSign Atlas R3 DV TLS CA 2024 Q3,23-Jul-24,19-Jan-25,CB:41:B8:78:C3:0A:A8:97:CF:8B:37:53:E0:E8:D1:C0:6D:65:8C:E8:C9:26:64:C2:64:8B:7E:6A:A3:FF:A5:5F,4683,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",santander.com,Banking
COMODO RSA Extended Validation Secure Server CA,25-Jan-24,24-Jan-25,CC:6B:36:3A:7B:07:5B:98:E1:F5:2F:9C:43:F4:41:1C:5C:22:2C:CE:FF:57:65:63:0F:34:EF:C9:85:0E:EE:3A,1924,2048,TRUE,"('ECDHE-RSA-AES128-GCM-SHA256', 'TLSv1.2', 128)",caixabank.com,Banking
GeoTrust EV RSA CA G2,10-Oct-23,09-Oct-24,BC:F3:63:B1:0B:FA:41:FB:34:49:21:A3:5E:3F:B8:2E:BB:A2:7B:98:0F:95:A7:B9:4E:1A:B8:CE:A2:37:B9:3C,1834,2048,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",bb.com.br,Banking
DigiCert SHA2 Extended Validation Server CA,16-Feb-24,15-Feb-25,C3:A3:93:D1:9A:15:1F:C3:B2:5E:BD:BF:D4:C5:12:97:7A:8C:35:1D:03:F0:08:A4:D0:9C:DF:D8:65:9B:F0:BF,1650,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",itau.com.br,Banking
DigiCert TLS RSA SHA256 2020 CA1,28-Nov-23,27-Nov-24,1E:D4:8B:C0:35:59:1F:B1:4F:50:07:58:35:CC:02:03:CA:59:7A:9D:3C:E7:04:18:4D:7A:B5:D9:32:D7:12:77,2214,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",bradesco.com.br,Banking
