issuer,validity_start,validity_end,sha256_fingerprint,cert_length,public_key_length,secure_connection,encryption,error,website,category
E6,05-Jul-24,03-Oct-24,DE:60:03:F2:A7:6B:FA:6E:1A:76:D4:D9:86:D3:EA:C6:BE:0D:7E:6D:A0:A3:66:06:94:63:23:7B:93:9D:43:5C,902,256,TRUE,"('TLS_AES_128_GCM_SHA256', 'TLSv1.3', 128)",,ghost.org,Blogging/Publishing
WE1,13-Aug-24,11-Nov-24,91:BA:BE:12:02:A6:7C:A2:09:46:30:9F:06:51:5C:8B:82:02:5E:89:0A:F8:65:D9:92:34:0F:5B:2B:C2:1D:FB,941,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,substack.com,Blogging/Publishing
WE1,09-Aug-24,07-Nov-24,DA:32:2F:34:A6:D5:3A:A0:30:ED:AB:CA:B9:A6:B2:AC:99:BE:50:F8:A9:07:34:5F:7E:21:54:48:FA:71:88:2C,946,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,problogger.com,Blogging/Publishing
WE1,30-Jun-24,28-Sep-24,F9:18:A2:84:E8:38:39:B3:2E:1A:06:C8:A9:37:45:FA:4C:D8:A1:4A:FF:F4:D4:85:78:21:40:B8:EA:D5:E3:9E,935,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,typepad.com,Blogging/Publishing
WE1,10-Jul-24,08-Oct-24,5D:0A:21:49:5C:40:F4:86:9B:B9:C9:7B:9C:1C:3B:39:17:E2:05:4D:EE:02:2F:90:2D:BC:B9:3C:0C:E7:07:94,944,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,bloglovin.com,Blogging/Publishing
WE1,06-Jul-24,04-Oct-24,5B:2D:A1:84:27:93:14:FA:5F:89:45:67:E4:CB:74:5C:D8:6C:F8:18:31:4C:08:18:5F:16:48:AE:56:CA:4F:D8,934,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,postach.io,Blogging/Publishing
WE1,05-Jul-24,03-Oct-24,5E:2C:E9:36:1F:D7:BA:36:D7:55:1F:43:CF:56:72:27:18:72:05:28:6D:91:38:C9:D7:59:B9:4B:03:FE:EC:B6,936,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,jotform.com,Blogging/Publishing
WR2,30-Jul-24,22-Oct-24,06:5E:3B:66:39:0A:5D:3C:7C:E5:1F:27:34:24:42:60:64:53:B3:D9:8E:4D:4E:97:F5:B7:08:B5:9D:19:0A:0A,3600,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,google.com,Search Engines
WR2,30-Jul-24,22-Oct-24,22:A5:E1:80:F8:D7:E5:ED:42:02:96:9F:73:06:5D:A7:4D:BC:C7:FA:7E:56:E2:C5:E3:01:6E:8D:FA:91:41:CC,6644,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,googleapis.com,Content Servers;Personal Blogs
Apple Public EV Server ECC CA 1 - G1,25-Jul-24,23-Oct-24,07:BA:9A:5B:1F:62:43:B1:67:B6:7C:4E:AB:C8:FB:91:6F:B4:E3:B1:2D:09:C2:51:26:7C:5C:76:0C:31:68:1A,1476,256,TRUE,"('TLS_AES_256_GCM_SHA384', 'TLSv1.3', 256)",,apple.com,Information Technology;Technology
